run_id,day,crew,power,food,life_support,shielding,power_consumed,power_saved,food_consumed,life_support_consumed,status
ef914005-4f0f-4c81-8eae-60470d794d69,1,6,85,68,64,60,5,0,12,6,RUNNING
ef914005-4f0f-4c81-8eae-60470d794d69,2,6,70,56,68,60,5,0,12,6,RUNNING
ef914005-4f0f-4c81-8eae-60470d794d69,3,6,55,44,62,70,5,0,12,6,RUNNING
ef914005-4f0f-4c81-8eae-60470d794d69,4,6,40,52,56,70,5,0,12,6,RUNNING
ef914005-4f0f-4c81-8eae-60470d794d69,5,6,37,40,50,70,3,2,12,6,RUNNING
ef914005-4f0f-4c81-8eae-60470d794d69,6,6,27,48,43.0,70,5,0,12,6,RUNNING
ef914005-4f0f-4c81-8eae-60470d794d69,7,6,7,36,34.0,80,5,0,12,6,RUNNING
ef914005-4f0f-4c81-8eae-60470d794d69,8,6,2,24,28.0,80,5,0,12,6,RUNNING
ef914005-4f0f-4c81-8eae-60470d794d69,9,6,2,12,22.0,80,5,0,12,6,RUNNING
ef914005-4f0f-4c81-8eae-60470d794d69,10,6,0,0,8.0,80,5,0,12,6,FAILED
